ItemList,DocumentNumber,SumberFile
"TA166B,TA2990","SOP/PROD/HOSE/SPS/24/10/17","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-TA166B-EH, VHFUNC-TA2990-EH","SOP/PROD/HOSE/SPS/24/10/17","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/18","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA2110,NA1650","SOP/PROD/HOSE/SPS/24/10/18","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/19","Double Layer Digitalisasi [Parameter Setting]; Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"","SOP/PROD/HOSE/SPS/24/10/20","Double Layer Digitalisasi [Parameter Setting]; Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"","SOP/PROD/HOSE/SPS/24/10/21","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1820,TA2040,TA3040","SOP/PROD/HOSE/SPS/24/10/21","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/22","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA2040,NA2050","SOP/PROD/HOSE/SPS/24/10/22","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/23","Double Layer Digitalisasi [Parameter Setting]; Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"","SOP/PROD/HOSE/SPS/24/10/24","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA-1180,TA1220","SOP/PROD/HOSE/SPS/24/10/24","Double Layer Digitalisasi [Parameter Setting]; Double Layer [Parameter Setting]"
"TA1180,TA1220","SOP/PROD/HOSE/SPS/24/10/24","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/25","Double Layer Digitalisasi [Parameter Setting]; Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"","SOP/PROD/HOSE/SPS/24/10/26","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1060,TA1140","SOP/PROD/HOSE/SPS/24/10/26","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/27","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"","SOP/PROD/HOSE/SPS/24/10/28","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA2900,NA1580,NA1610","SOP/PROD/HOSE/SPS/24/10/28","Double Layer Digitalisasi [Parameter Setting]"
